Spell Name,Level,School,Ritual,Casting Time,Range,Concentration,Duration,Description,Per Higher Spell Level,Source
Dominate Beast,4,Enchantment,,1 action,60 ft.,true,1 minute,"You attempt to beguile a creature that you can see within range. It must succeed on a wisdom saving throw or be charmed by you for the duration. If you or creatures that are friendly to you are fighting it, it has advantage on the saving throw.","When you cast this spell with a 9th level spell slot, the duration is concentration, up to 8 hours.",PHB
Dominate Monster,8,Enchantment,,1 action,60 ft.,true,1 hour,"You attempt to beguile a creature that you can see within range. It must succeed on a wisdom saving throw or be charmed by you for the duration. If you or creatures that are friendly to you are fighting it, it has advantage on the saving throw.","When you cast this spell with a 9th-level spell slot, the duration is concentration, up to 8 hours.",PHB
Dominate Person,5,Enchantment,,1 action,60 ft.,true,1 minute,"You attempt to beguile a humanoid that you can see within range. It must succeed on a wisdom saving throw or be charmed by you for the duration. If you or creatures that are friendly to you are fighting it, it has advantage on the saving throw.","When you cast this spell using a 6th-level spell slot, the duration is concentration, up to 10 minutes. When you use a 7th-level spell slot, the duration is concentration, up to 1 hour. When you use a spell slot of 8th level or higher, the duration is concentration, up to 8 hours.",PHB
Drawmij's Instant Summons,6,Conjuration,true,1 minute,Touch,,Until Dispelled,,,PHB
Dream,5,Illusion,,1 minute,See Sourcebook.,,8 hours,"This spell shapes a creature's dreams. Choose a creature known to you as the target of this spell. The target must be on the same plane of existence as you. Creatures that don't sleep, such as elves, can't be contacted by this spell. You, or a willing creature you touch, enters a trance state, acting as a messenger.",,PHB
Druidcraft,0,Transmutation,,1 action,30 ft.,,Instantaneous,"Whispering to the spirits of nature, you create one of the following effects within 'range':",,PHB
Earthquake,8,Evocation,,1 action,500 ft.,true,1 minute,"You create a seismic disturbance at a point on the ground that you can see within range. For the duration, an intense tremor rips through the ground in a 100-foot-radius circle centered on that point and shakes creatures and structures in contact with the ground in that area.",,PHB
Eldritch Blast,0,Evocation,,1 action,120 ft.,,Instantaneous,"A beam of crackling energy streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 force damage. The spell creates more than one beam when you reach higher levels: two beams at 5th level, three beams at 11th level, and four beams at 17th level. You can direct the beams at the same target or at different ones. Make a separate attack roll for each beam.",,PHB
Elemental Weapon,3,Transmutation,,1 action,Touch,true,1 hour,,,PHB
Enhance Ability,2,Transmutation,,1 action,Touch,true,1 hour,"You touch a creature and bestow upon it a magical enhancement. Choose one of the following effects,  the target gains that effect until the spell ends.","When you cast this spell using a spell slot of 3rd level or higher, you can target one additional creature for each slot level above 2nd.",PHB
Enlarge/Reduce,2,Transmutation,,1 action,30 ft.,true,1 minute,,,PHB
Ensnaring Strike,1,Conjuration,,1 bonus action,Self,true,1 minute,,,PHB
Entangle,1,Conjuration,,1 action,90 ft.,true,1 minute,"Grasping weeds and vines sprout from the ground in a 20-foot square starting form a point within range. For the duration, these plants turn the ground in the area into difficult terrain.",,PHB
Enthrall,2,Enchantment,,1 action,60 ft.,,1 minute,"You weave a distracting string of words, causing creatures of your choice that you can see within range and that can hear you to make a wisdom saving throw. Any creature that can't be charmed succeeds on this saving throw automatically, and if you or your companions are fighting a creature, it has advantage on the save. On a failed save, the target has disadvantage on Wisdom (Perception) checks made to perceive any creature other than you until the spell ends or until the target can no longer hear you. The spell ends if you are incapacitated or can no longer speak.",,PHB
Etherealness,7,Transmutation,,1 action,Self,,Up to 8 hours,"You step into the border regions of the Ethereal Plane, in the area where it overlaps with your current plane. You remain in the Border Ethereal for the duration or until you use your action to dismiss the spell. During this time, you can move in any direction. If you move up or down, every foot of movement costs an extra foot. You can see and hear the plane you originated from, but everything there looks gray, and you can't see anything more than 60 feet away.","When you cast this spell using a spell slot of 8th level or higher, you can target up to three willing creatures (including you) for each slot level above 7th. The creatures must be within 10 feet of you when you cast the spell.",PHB
Evard's Black Tentacles,4,Conjuration,,1 action,90 ft.,true,1 minute,,,PHB
Expeditious Retreat,1,Transmutation,,1 bonus action,Self,true,10 minutes,"This spell allows you to move at an incredible pace. When you cast this spell, and then as a bonus action on each of your turns until the spell ends, you can take the Dash action.",,PHB
Eyebite,6,Necromancy,,1 action,Self,true,1 minute,"For the spell's duration, your eyes become an inky void imbued with dread power. One creature of your choice within 60 feet of you that you can see must succeed on a wisdom saving throw or be affected by one of the following effects of your choice for the duration. On each of your turns until the spell ends, you can use your action to target another creature but can't target a creature again if it has succeeded on a saving throw against this casting of eyebite.",,PHB
Fabricate,4,Transmutation,,10 minutes,120 ft.,,Instantaneous,"You convert raw materials into products of the same material. For example, you can fabricate a wooden bridge from a clump of trees, a rope from a patch of hemp, and clothes from flax or wool.",,PHB
Faerie Fire,1,Evocation,,1 action,60 ft.,true,1 minute,"Each object in a 20-foot cube within range is outlined in blue, green, or violet light (your choice). Any creature in the area when the spell is cast is also outlined in light if it fails a dexterity saving throw. For the duration, objects and affected creatures shed dim light in a 10-foot radius.",,PHB
False Life,1,Necromancy,,1 action,Self,,1 hour,"Bolstering yourself with a necromantic facsimile of life, you gain 1d4 + 4 temporary hit points for the duration.","When you cast this spell using a spell slot of 2nd level or higher, you gain 5 additional temporary hit points for each slot level above 1st.",PHB
Fear,3,Illusion,,1 action,Self,true,1 minute,You project a phantasmal image of a creature's worst fears. Each creature in a 30-foot cone must succeed on a wisdom saving throw or drop whatever it is holding and become frightened for the duration.,,PHB
Feather Fall,1,Transmutation,,1 reaction (falling),60 ft.,,1 minute,"Choose up to five falling creatures within range. A falling creature's rate of descent slows to 60 feet per round until the spell ends. If the creature lands before the spell ends, it takes no falling damage and can land on its feet, and the spell ends for that creature.",,PHB
Feeblemind,8,Enchantment,,1 action,150 ft.,,Instantaneous,"You blast the mind of a creature that you can see within range, attempting to shatter its intellect and personality. The target takes 4d6 psychic damage and must make an intelligence saving throw.",,PHB
Feign Death,3,Necromancy,true,1 action,Touch,,1 hour,,,PHB
Find Familiar,1,Conjuration,true,1 hour,10 ft.,,Instantaneous,"You gain the service of a familiar, a spirit that takes an animal form you choose: bat, cat, crab, frog (toad), hawk, lizard, octopus, owl, poisonous snake, fish (quipper), rat, raven, sea horse, spider, or weasel. Appearing in an unoccupied space within range, the familiar has the statistics of the chosen form, though it is a celestial, fey, or fiend (your choice) instead of a beast.",,PHB
Find Steed,2,Conjuration,,10 minutes,30 ft.,,Instantaneous,"You summon a spirit that assumes the form of an unusually intelligent, strong, and loyal steed, creating a long-lasting bond with it. Appearing in an unoccupied space within range, the steed takes on a form that you choose, such as a warhorse, a pony, a camel, an elk, or a mastiff. (Your DM might allow other animals to be summoned as steeds.) The steed has the statistics of the chosen form, though it is a celestial, fey, or fiend (your choice) instead of its normal type. Additionally, if your steed has an Intelligence of 5 or less, its Intelligence becomes 6, and it gains the ability to understand one language of your choice that you speak.",,PHB
Find the Path,6,Divination,,1 minute,Self,true,1 day,"This spell allows you to find the shortest, most direct physical route to a specific fixed location that you are familiar with on the same plane of existence. If you name a destination on another plane of existence, a destination that moves (such as a mobile fortress), or a destination that isn't specific (such as a green dragon's lair), the spell fails.",,PHB
Find Traps,2,Divination,,1 action,120 ft.,,Instantaneous,"You sense the presence of any trap within range that is within line of sight. A trap, for the purpose of this spell, includes anything that would inflict a sudden or unexpected effect you consider harmful or undesirable, which was specifically intended as such by its creator. Thus, the spell would sense an area affected by the alarm spell, a glyph of warding, or a mechanical pit trap, but it would not reveal a natural weakness in the floor, an unstable ceiling, or a hidden sinkhole.",,PHB
Finger of Death,7,Necromancy,,1 action,60 ft.,,Instantaneous,"You send negative energy coursing through a creature that you can see within range, causing it searing pain. The target must make a constitution saving throw. It takes 7d8 + 30 necrotic damage on a failed save, or half as much damage on a successful one.",,PHB
Fire Bolt,0,Evocation,,1 action,120 ft.,,Instantaneous,"You hurl a mote of fire at a creature or object within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 fire damage. A flammable object hit by this spell ignites if it isn't being worn or carried.",,PHB
Fire Shield,4,Evocation,,1 action,Self,,10 minutes,"Thin and vaporous flame surround your body for the duration of the spell, radiating a bright light bright light in a 10-foot radius and dim light for an additional 10 feet. You can end the spell using an action to make it disappear.",,PHB
Fire Storm,7,Evocation,,1 action,150 ft.,,Instantaneous,"A storm made up of sheets of roaring flame appears in a location you choose within range. The area of the storm consists of up to ten 10-foot cubes, which you can arrange as you wish. Each cube must have at least one face adjacent to the face of another cube. Each creature in the area must make a dexterity saving throw. It takes 7d10 fire damage on a failed save, or half as much damage on a successful one.",,PHB
Fireball,3,Evocation,,1 action,150 ft.,,Instantaneous,"A bright streak flashes from your pointing finger to a point you choose within range and then blossoms with a low roar into an explosion of flame. Each creature in a 20-foot-radius sphere centered on that point must make a dexterity saving throw. A target takes 8d6 fire damage on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d6 for each slot level above 3rd.",PHB
Flame Blade,2,Evocation,,1 bonus action,Self,true,10 minutes,"You evoke a fiery blade in your free hand. The blade is similar in size and shape to a scimitar, and it lasts for the duration. If you let go of the blade, it disappears, but you can evoke the blade again as a bonus action.","When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d6 for every two slot levels above 2nd.",PHB
Flame Strike,5,Evocation,,1 action,60 ft.,,Instantaneous,"A vertical column of divine fire roars down from the heavens in a location you specify. Each creature in a 10-foot-radius, 40-foot-high cylinder centered on a point within range must make a dexterity saving throw. A creature takes 4d6 fire damage and 4d6 radiant damage on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 6th level or higher, the fire damage or the radiant damage (your choice) increases by 1d6 for each slot level above 5th.",PHB
Flaming Sphere,2,Conjuration,,1 action,60 ft.,true,1 minute,"A 5-foot-diameter sphere of fire appears in an unoccupied space of your choice within range and lasts for the duration. Any creature that ends its turn within 5 feet of the sphere must make a dexterity saving throw. The creature takes 2d6 fire damage on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d6 for each slot level above 2nd.",PHB
Flesh to Stone,6,Transmutation,,1 action,60 ft.,true,1 minute,"You attempt to turn one creature that you can see within range into stone. If the target's body is made of flesh, the creature must make a constitution saving throw. On a failed save, it is restrained as its flesh begins to harden. On a successful save, the creature isn't affected.",,PHB
Fly,3,Transmutation,,1 action,Touch,true,10 minutes,"You touch a willing creature. The target gains a flying speed of 60 feet for the duration. When the spell ends, the target falls if it is still aloft, unless it can stop the fall.","When you cast this spell using a spell slot of 4th level or higher, you can target one additional creature for each slot level above 3rd.",PHB
Fog Cloud,1,Conjuration,,1 action,120 ft.,true,1 hour,"You create a 20-foot-radius sphere of fog centered on a point within range. The sphere spreads around corners, and its area is heavily obscured. It lasts for the duration or until a wind of moderate or greater speed (at least 10 miles per hour) disperses it.","When you cast this spell using a spell slot of 2nd level or higher, the radius of the fog increases by 20 feet for each slot level above 1st.",PHB
Forbiddance,6,Abjuration,true,10 minutes,Touch,,1 day,"You create a ward against magical travel that protects up to 40,000 square feet of floor space to a height of 30 feet above the floor. For the duration, creatures can't teleport into the area or use portals, such as those created by the gate spell, to enter the area. The spell proofs the area against planar travel, and therefore prevents creatures from accessing the area by way of the Astral Plane, Ethereal Plane, Feywild, Shadowfell, or the plane shift spell.",,PHB
Forcecage,7,Evocation,,1 action,100 ft.,,1 hour,"An immobile, invisible, cube-shaped prison composed of magical force springs into existence around an area you choose within range. The prison can be a cage or a solid box, as you choose.",,PHB
Foresight,9,Divination,,1 minute,Touch,,8 hours,"You touch a willing creature and bestow a limited ability to see into the immediate future. For the duration, the target can't be surprised and has advantage on attack rolls, ability checks, and saving throws. Additionally, other creatures have disadvantage on attack rolls against the target for the duration.",,PHB
Freedom of Movement,4,Abjuration,,1 action,Touch,,1 hour,"You touch a willing creature. For the duration, the target's movement is unaffected by difficult terrain, and spells and other magical effects can neither reduce the target's speed nor cause the target to be paralyzed or restrained.",,PHB
Friends,0,Enchantment,,1 action,Self,true,1 minute,,,PHB
Gaseous Form,3,Transmutation,,1 action,Touch,true,1 hour,"You transform a willing creature you touch, along with everything it's wearing and carrying, into a misty cloud for the duration. The spell ends if the creature drops to 0 hit points. An incorporeal creature isn't affected.",,PHB
Gate,9,Conjuration,,1 action,60 ft.,true,1 minute,"You conjure a portal linking an unoccupied space you can see within range to a precise location on a different plane of existence. The portal is a circular opening, which you can make 5 to 20 feet in diameter. You can orient the portal in any direction you choose. The portal lasts for the duration.",,PHB
Geas,5,Enchantment,,1 minute,60 ft.,,30 days,"You place a magical command on a creature that you can see within range, forcing it to carry out some service or refrain from some action or course of activity as you decide. If the creature can understand you, it must succeed on a wisdom saving throw or become charmed by you for the duration. While the creature is charmed by you, it takes 5d10 psychic damage each time it acts in a manner directly counter to your instructions, but no more than once each day. A creature that can't understand you is unaffected by the spell.","When you cast this spell using a spell slot of 7th or 8th level, the duration is 1 year. When you cast this spell using a spell slot of 9th level, the spell lasts until it is ended by one of the spells mentioned above.",PHB
Gentle Repose,2,Necromancy,true,1 action,Touch,,10 days,"You touch a corpse or other remains. For the duration, the target is protected from decay and can't become undead.",,PHB
Giant Insect,4,Transmutation,,1 action,30 ft.,true,10 minutes,"You transform up to ten centipedes, three spiders, five wasps, or one scorpion within range into giant versions of their natural forms for the duration. A centipede becomes a giant centipede, a spider becomes a giant spider, a wasp becomes a giant wasp, and a scorpion becomes a giant scorpion.",,PHB
Glibness,8,Transmutation,,1 action,Self,,1 hour,"Until the spell ends, when you make a Charisma check, you can replace the number you roll with a 15. Additionally, no matter what you say, magic that would determine if you are telling the truth indicates that you are being truthful.",,PHB
Globe of Invulnerability,6,Abjuration,,1 action,Self,true,1 minute,"An immobile, faintly shimmering barrier springs into existence in a 10-foot radius around you and remains for the duration.","When you cast this spell using a spell slot of 7th level or higher, the barrier blocks spells of one level higher for each slot level above 6th.",PHB
Glyph of Warding,3,Abjuration,,1 hour,Touch,,Dispel/Triggered,"When you cast this spell, you enter a glyph that hurt other creatures, either on a surface (like a table or a portion of a floor or wall) or inside an object that can be closed (like a book a parchment or cabinet) to hide the glyph. If you opt for a surface, the glyph can cover an area of 10 feet or less in diameter. If you select an object, it must remain in place. If the object is moved to over 10 feet from where the spell was spell casts, the glyph breeze and the spell expires without being triggered.","When you cast this spell using a 4 or higher is level, the damage explosive runes increased by 1d8 for each level of top slot 3. If you create a glyph spell, you may store a spell whose level is equivalent or less to spell slot used for the custody of the glyph.",PHB
Goodberry,1,Transmutation,,1 action,Touch,,Instantaneous,"Up to ten berries appear in your hand and are infused with magic for the duration. A creature can use its action to eat one berry. Eating a berry restores 1 hit point, and the berry provides enough nourishment to sustain a creature for a day.",,PHB
Grasping Vine,4,Conjuration,,1 bonus action,30 ft.,true,1 minute,,,PHB
Grease,1,Conjuration,,1 action,60 ft.,,1 minute,Slick grease covers the ground in a 10-foot square centered on a point within range and turns it into difficult terrain for the duration.,,PHB
Greater Invisibility,4,Illusion,,1 action,Touch,true,1 minute,You or a creature you touch becomes invisible until the spell ends. Anything the target is wearing or carrying is invisible as long as it is on the target's person.,,PHB
Greater Restoration,5,Abjuration,,1 action,Touch,,Instantaneous,"You imbue a creature you touch with positive energy to undo a debilitating effect. You can reduce the target's exhaustion level by one, or end one of the following effects on the target:",,PHB
Guardian of Faith,4,Conjuration,,1 action,30 ft.,,8 hours,A Large spectral guardian appears and hovers for the duration in an unoccupied space of your choice that you can see within range. The guardian occupies that space and is indistinct except for a gleaming sword and shield emblazoned with the symbol of your deity.,,PHB
Guards and Wards,6,Abjuration,,10 minutes,Touch,,24 hours,"You create a ward that protects up to 2,500 square feet of floor space (an area 50 feet square, or one hundred 5-foot squares or twenty-five 10-foot squares). The warded area can be up to 20 feet tall, and shaped as you desire. You can ward several stories of a stronghold by dividing the area among them, as long as you can walk into each contiguous area while you are casting the spell.",,PHB
Guidance,0,Divination,,1 action,Touch,true,1 minute,"You touch one willing creature. Once before the spell ends, the target can roll a d4 and add the number rolled to one ability check of its choice. It can roll the die before or after making the ability check. The spell then ends.",,PHB
Guiding Bolt,1,Evocation,,1 action,120 ft.,,1 round,"A flash of light streaks toward a creature of your choice within range. Make a ranged spell attack against the target. On a hit, the target takes 4d6 radiant damage, and the next attack roll made against this target before the end of your next turn has advantage, thanks to the mystical dim light glittering on the target until then.","When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st.",PHB
Gust of Wind,2,Evocation,,1 action,Self,true,1 minute,A line of strong wind 60 feet long and 10 feet wide blasts from you in a direction you choose for the spell's duration. Each creature that starts its turn in the line must succeed on a strength saving throw or be pushed 15 feet away from you in a direction following the line.,,PHB
Hail of Thorns,1,Conjuration,,1 bonus action,Self,true,1 minute,,,PHB
Hallow,5,Evocation,,24 hours,Touch,,Until Dispelled,"You touch a point and infuse an area around it with holy (or unholy) power. The area can have a radius up to 60 feet, and the spell fails if the radius includes an area already under the effect a hallow spell. The affected area is subject to the following effects.",,PHB
Hallucinatory Terrain,4,Illusion,,10 minutes,300 ft.,,24 hours,"You make natural terrain in a 150-foot cube in range look, sound, and smell like some other sort of natural terrain. Thus, open fields or a road can be made to resemble a swamp, hill, crevasse, or some other difficult or impassable terrain. A pond can be made to seem like a grassy meadow, a precipice like a gentle slope, or a rock-strewn gully like a wide and smooth road. Manufactured structures, equipment, and creatures within the area aren't changed in appearance.",,PHB
Harm,6,Necromancy,,1 action,60 ft.,,Instantaneous,"You unleash a virulent disease on a creature that you can see within range. The target must make a constitution saving throw. On a failed save, it takes 14d6 necrotic damage, or half as much damage on a successful save. The damage can't reduce the target's hit points below 1. If the target fails the saving throw, its hit point maximum is reduced for 1 hour by an amount equal to the necrotic damage it took. Any effect that removes a disease allows a creature's hit point maximum to return to normal before that time passes.",,PHB
Haste,3,Transmutation,,1 action,30 ft.,true,1 minute,"Choose a willing creature that you can see within range. Until the spell ends, the target's speed is doubled, it gains a +2 bonus to AC, it has advantage on dexterity saving throws, and it gains an additional action on each of its turns. That action can be used only to take the Attack (one weapon attack only), Dash, Disengage, Hide, or Use an Object action.",,PHB
Heal,6,Evocation,,1 action,60 ft.,,Instantaneous,"Choose a creature that you can see within range. A surge of positive energy washes through the creature, causing it to regain 70 hit points. This spell also ends blindness, deafness, and any diseases affecting the target. This spell has no effect on constructs or undead.","When you cast this spell using a spell slot of 7th level or higher, the amount of healing increases by 10 for each slot level above 6th.",PHB
Healing Word,1,Evocation,,1 bonus action,60 ft.,,Instantaneous,A creature of your choice that you can see within range regains hit points equal to 1d4 + your spellcasting ability modifier. This spell has no effect on undead or constructs.,"When you cast this spell using a spell slot of 2nd level or higher, the healing increases by 1d4 for each slot level above 1st.",PHB
Heat Metal,2,Transmutation,,1 action,60 ft.,true,1 minute,"Choose a manufactured metal object, such as a metal weapon or a suit of heavy or medium metal armor, that you can see within range. You cause the object to glow red-hot. Any creature in physical contact with the object takes 2d8 fire damage when you cast the spell. Until the spell ends, you can use a bonus action on each of your subsequent turns to cause this damage again.","When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for each slot level above 2nd.",PHB
Hellish Rebuke,1,Evocation,,1 reaction (take DAM),60 ft.,,Instantaneous,"You point your finger, and the creature that damaged you is momentarily surrounded by hellish flames. The creature must make a dexterity saving throw. It takes 2d10 fire damage on a failed save, or half as much damage on a successful one.",,PHB
Heroes' Feast,6,Conjuration,,10 minutes,30 ft.,,Instantaneous,,,PHB
Heroism,1,Enchantment,,1 action,Touch,true,1 minute,"A willing creature you touch is imbued with bravery. Until the spell ends, the creature is immune to being frightened and gains temporary hit points equal to your spellcasting ability modifier at the start of each of its turns. When the spell ends, the target loses any remaining temporary hit points from this spell.",,PHB
Hex,1,Enchantment,,1 bonus action,90 ft.,true,1 hour,,,PHB
Hold Monster,5,Enchantment,,1 action,90 ft.,true,1 minute,"Choose a creature you can see and reach. The target must make a saving throw of Wisdom or be paralyzed for the duration of the spell. This spell has no effect against the undead. At the end of each round, the target can make a new saving throw of Wisdom. If successful, the spell ends for the creature.","When you cast this spell using a level 6 or higher location, you can target an additional creature for each level of location beyond the fifth. The creatures must be within 30 feet o f each other when you target them.",PHB
Hold Person,2,Enchantment,,1 action,60 ft.,true,1 minute,"Choose a humanoid that you can see within range. The target must succeed on a wisdom saving throw or be paralyzed for the duration. At the end of each of its turns, the target can make another wisdom saving throw. On a success, the spell ends on the target.","When you cast this spell using a spell slot of 3rd level or higher, you can target one additional humanoid for each slot level above 2nd. The humanoids must be within 30 feet of each other when you target them.",PHB
Holy Aura,8,Abjuration,,1 action,Self,true,1 minute,"Divine light washes out from you and coalesces in a soft radiance in a 30-foot radius around you. Creatures of your choice in that radius when you cast this spell shed dim light in a 5-foot radius and have advantage on all saving throws, and other creatures have disadvantage on attack rolls against them until the spell ends. In addition, when a fiend or an undead hits an affected creature with a melee attack, the aura flashes with brilliant light. The attacker must succeed on a constitution saving throw or be blinded until the spell ends.",,PHB
Hunger of Hadar,3,Conjuration,,1 action,150 ft.,true,1 minute,,,PHB
Hunter's Mark,1,Divination,,1 bonus action,90 ft.,true,1 hour,,,PHB
Hypnotic Pattern,3,Illusion,,1 action,120 ft.,true,1 minute,"You create a twisting pattern of colors that weaves through the air inside a 30-foot cube within range. The pattern appears for a moment and vanishes. Each creature in the area who sees the pattern must make a wisdom saving throw. On a failed save, the creature becomes charmed for the duration. While charmed by this spell, the creature is incapacitated and has a speed of 0.",,PHB
Ice Storm,4,Evocation,,1 action,300 ft.,,Instantaneous,"A hail of rock-hard ice pounds to the ground in a 20-foot-radius, 40-foot-high cylinder centered on a point within range. Each creature in the cylinder must make a dexterity saving throw. A creature takes 2d8 bludgeoning damage and 4d6 cold damage on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 5th level or higher, the bludgeoning damage increases by 1d8 for each slot level above 4th.",PHB
Identify,1,Divination,true,1 minute,Touch,,Instantaneous,"You choose one object that you must touch throughout the casting of the spell. If it is a magic item or some other magic-imbued object, you learn its properties and how to use them, whether it requires attunement to use, and how many charges it has, if any. You learn whether any spells are affecting the item and what they are. If the item was created by a spell, you learn which spell created it.",,PHB
Illusory Script,1,Illusion,true,1 minute,Touch,,10 days,"You write on parchment, paper, or some other suitable writing material and imbue it with a potent illusion that lasts for the duration.",,PHB
Imprisonment,9,Abjuration,,1 minute,30 ft.,,Until Dispelled,You create a magical restraint to hold a creature that you can see within range. The target must succeed on a wisdom saving throw or be bound by the spell," if it succeeds, it is immune to this spell if you cast it again. While affected by this spell, the creature doesn't need to breathe, eat, or drink, and it doesn't age. Divination spells can't locate or perceive the target.",PHB
Incendiary Cloud,8,Conjuration,,1 action,150 ft.,true,1 minute,A swirling cloud of smoke shot through with white-hot embers appears in a 20-foot-radius sphere centered on a point within range. The cloud spreads around corners and is heavily obscured. It lasts for the duration or until a wind of moderate or greater speed (at least 10 miles per hour) disperses it.,,PHB
Inflict Wounds,1,Necromancy,,1 action,Touch,,Instantaneous,"Make a melee spell attack against a creature you can reach. On a hit, the target takes 3d10 necrotic damage.","When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d10 for each slot level above 1st.",PHB
Insect Plague,5,Conjuration,,1 action,300 ft.,true,10 minutes,"Swarming, biting locusts fill a 20-foot-radius sphere centered on a point you choose within range. The sphere spreads around corners. The sphere remains for the duration, and its area is lightly obscured. The sphere's area is difficult terrain.","When you cast this spell using a spell slot of 6th level or higher, the damage increases by 1d10 for each slot level above 5th.",PHB
Invisibility,2,Illusion,,1 action,Touch,true,1 hour,A creature you touch becomes invisible until the spell ends. Anything the target is wearing or carrying is invisible as long as it is on the target's person. The spell ends for a target that attacks or casts a spell.,"When you cast this spell using a spell slot of 3rd level or higher, you can target one additional creature for each slot level above 2nd.",PHB
Jump,1,Transmutation,,1 action,Touch,,1 minute,You touch a creature. The creature's jump distance is tripled until the spell ends.,,PHB
Knock,2,Transmutation,,1 action,60 ft.,,Instantaneous,"Choose an object that you can see within range. The object can be a door, a box, a chest, a set of manacles, a padlock, or another object that contains a mundane or magical means that prevents access.",,PHB
Legend Lore,5,Divination,,10 minutes,Self,,Instantaneous,"Name or describe a person, place, or object. The spell brings to your mind a brief summary of the significant lore about the thing you named. The lore might consist of current tales, forgotten stories, or even secret lore that has never been widely known. If the thing you named isn't of legendary importance, you gain no information. The more information you already have about the thing, the more precise and detailed the information you receive is.",,PHB
Leomund's Secret Chest,4,Conjuration,,1 action,Touch,,Instantaneous,,,PHB
Leomund's Tiny Hut,3,Evocation,true,1 minute,Self,,8 hours,,,PHB
Lesser Restoration,2,Abjuration,,1 action,Touch,,Instantaneous,"You touch a creature and can end either one disease or one condition afflicting it. The condition can be blinded, deafened, paralyzed, or poisoned.",,PHB
Levitate,2,Transmutation,,1 action,60 ft.,true,10 minutes,"One creature or object of your choice that you can see within range rises vertically, up to 20 feet, and remains suspended there for the duration. The spell can levitate a target that weighs up to 500 pounds. An unwilling creature that succeeds on a constitution saving throw is unaffected.",,PHB
Light,0,Evocation,,1 action,Touch,,1 hour,"You touch one object that is no larger than 10 feet in any dimension. Until the spell ends, the object sheds bright light in a 20-foot radius and dim light for an additional 20 feet. The light can be colored as you like. Completely covering the object with something opaque blocks the light. The spell ends if you cast it again or dismiss it as an action.",,PHB
Lightning Arrow,3,Transmutation,,1 bonus action,Self,true,1 minute,,,PHB
Lightning Bolt,3,Evocation,,1 action,Self,,Instantaneous,"A stroke of lightning forming a line 100 feet long and 5 feet wide blasts out from you in a direction you choose. Each creature in the line must make a dexterity saving throw. A creature takes 8d6 lightning damage on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d6 for each slot level above 3rd.",PHB
Locate Animals or Plants,2,Divination,true,1 action,Self,,Instantaneous,"Describe or name a specific kind of beast or plant. Concentrating on the voice of nature in your surroundings, you learn the direction and distance to the closest creature or plant of that kind within 5 miles, if any are present.",,PHB
Locate Creature,4,Divination,,1 action,Self,,Instantaneous,"Describe or name a creature that is familiar to you. You sense the direction to the creature's location, as long as that creature is within 1,000 feet of you. If the creature is moving, you know the direction of its movement.",,PHB
Locate Object,2,Divination,,1 action,Self,true,10 minutes,"Describe or name an object that is familiar to you. You sense the direction to the object's location, as long as that object is within 1,000 feet of you. If the object is in motion, you know the direction of its movement.",,PHB
Longstrider,1,Transmutation,,1 action,Touch,,1 hour,You touch a creature. The target's speed increases by 10 feet until the spell ends.,"When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each spell slot above 1st.",PHB
Mage Armor,1,Abjuration,,1 action,Touch,,8 hours,"You touch a willing creature who isn't wearing armor, and a protective magical force surrounds it until the spell ends. The target's base AC becomes 13 + its Dexterity modifier. The spell ends if the target dons armor or if you dismiss the spell as an action.",,PHB
Mage Hand,0,Conjuration,,1 action,30 ft.,,1 minute,"A spectral, floating hand appears at a point you choose within range. The hand lasts for the duration or until you dismiss it as an action. The hand vanishes if it is ever more than 30 feet away from you or if you cast this spell again.","You touch one willing creature. Once before the spell ends, the target can roll a d4 and add the number rolled to one ability check of its choice. It can roll the die before or after making the ability check. The spell then ends.",PHB
Magic Circle,3,Abjuration,,1 minute,10 ft.,,1 hour,"You create a 10-foot radius, 20-foot-tall cylinder of magical energy centered on a point on the ground that you can see within range. Glowing runes appear whetever the cylinder intersects with the floor or other surface.","A flash of light streaks toward a creature of your choice within range. Make a ranged spell attack against the target. On a hit, the target takes 4d6 radiant damage, and the next attack roll made against this target before the end of your next turn has advantage, thanks to the mystical dim light glittering on the target until then.",PHB
